Date,Open,High,Low,Close,Adj Close,Volume
2019-07-04,42.259998,42.799999,41.299999,41.779999,41.779999,298049
2019-07-05,41.700001,41.700001,40.880001,41.500000,41.500000,298544
2019-07-08,41.500000,41.919998,41.180000,41.700001,41.700001,172366
2019-07-09,41.619999,42.299999,41.000000,42.119999,42.119999,214274
2019-07-10,42.000000,42.200001,40.840000,41.660000,41.660000,281383
2019-07-11,41.500000,41.980000,41.139999,41.779999,41.779999,192322
2019-07-12,41.700001,43.000000,41.700001,42.959999,42.959999,208601
2019-07-15,42.980000,43.500000,42.540001,42.919998,42.919998,164102
2019-07-16,42.939999,43.220001,42.099998,42.240002,42.240002,91773
2019-07-17,42.279999,42.880001,41.360001,41.660000,41.660000,208449
2019-07-18,41.779999,41.860001,40.240002,40.900002,40.900002,226297
2019-07-19,39.400002,41.840000,37.180000,41.099998,41.099998,998601
2019-07-22,41.099998,45.759998,40.599998,44.900002,44.900002,1495890
2019-07-23,44.900002,45.360001,43.000000,44.720001,44.720001,558509
2019-07-24,44.919998,44.919998,42.200001,43.000000,43.000000,463722
2019-07-25,42.700001,43.820000,42.599998,43.520000,43.520000,359319
2019-07-26,43.299999,43.860001,42.700001,43.560001,43.560001,120647
2019-07-29,43.560001,44.299999,42.439999,42.580002,42.580002,211309
2019-07-30,42.580002,42.880001,42.099998,42.439999,42.439999,268226
2019-07-31,42.400002,43.020000,41.919998,42.459999,42.459999,460439
2019-08-01,42.180000,43.180000,42.180000,43.000000,43.000000,141646
2019-08-02,42.540001,43.040001,42.000000,42.419998,42.419998,301647
2019-08-06,41.919998,43.180000,41.680000,42.259998,42.259998,270915
2019-08-07,42.099998,43.000000,41.939999,42.400002,42.400002,269064
2019-08-08,42.580002,43.259998,42.200001,42.340000,42.340000,197170
2019-08-09,42.340000,42.340000,40.520000,40.520000,40.520000,314600
2019-08-12,40.520000,40.880001,39.220001,39.220001,39.220001,208706
2019-08-13,39.200001,40.139999,38.279999,39.840000,39.840000,544759
2019-08-14,39.919998,40.000000,38.599998,38.880001,38.880001,246336
2019-08-15,37.860001,38.520000,35.500000,37.740002,37.740002,598233
2019-08-16,37.720001,38.860001,37.700001,38.000000,38.000000,208804
2019-08-19,38.020000,39.020000,37.860001,38.000000,38.000000,295473
2019-08-20,37.799999,38.619999,37.619999,38.099998,38.099998,137700
2019-08-21,38.380001,38.959999,38.060001,38.740002,38.740002,215398
2019-08-22,38.820000,38.820000,37.160000,37.279999,37.279999,169204
2019-08-23,37.340000,37.779999,36.400002,36.660000,36.660000,370139
2019-08-26,36.540001,37.040001,36.540001,36.779999,36.779999,147726
2019-08-27,36.919998,36.919998,35.680000,35.680000,35.680000,184540
2019-08-28,35.680000,36.080002,35.119999,35.959999,35.959999,193392
2019-08-29,36.360001,36.939999,35.799999,36.820000,36.820000,174205
2019-08-30,36.820000,37.540001,36.660000,37.160000,37.160000,274079
2019-09-02,37.480000,37.700001,36.560001,36.700001,36.700001,159042
2019-09-03,36.720001,37.080002,36.279999,37.000000,37.000000,195474
2019-09-04,36.959999,37.340000,36.660000,36.740002,36.740002,88375
2019-09-05,36.680000,37.599998,36.680000,37.180000,37.180000,231888
2019-09-06,37.279999,37.419998,36.560001,36.639999,36.639999,74031
2019-09-09,36.520000,37.139999,36.520000,36.779999,36.779999,77157
2019-09-10,37.099998,37.320000,36.400002,37.080002,37.080002,287820
2019-09-11,37.599998,38.599998,37.360001,38.599998,38.599998,401179
2019-09-12,38.860001,39.020000,37.580002,37.700001,37.700001,234746
2019-09-13,37.799999,38.500000,37.200001,37.880001,37.880001,352558
2019-09-16,37.779999,38.520000,37.580002,38.040001,38.040001,209844
2019-09-17,38.340000,38.340000,36.799999,37.279999,37.279999,171749
2019-09-18,37.259998,37.520000,36.360001,36.360001,36.360001,321675
2019-09-19,36.340000,36.619999,35.459999,35.919998,35.919998,358668
2019-09-20,35.500000,36.299999,35.240002,36.139999,36.139999,290555
2019-09-23,36.099998,36.099998,34.779999,35.240002,35.240002,243373
2019-09-24,35.200001,36.259998,34.959999,35.919998,35.919998,190907
2019-09-25,35.939999,35.939999,35.099998,35.619999,35.619999,91973
2019-09-26,35.419998,37.459999,35.259998,37.380001,37.380001,340121
2019-09-27,37.380001,37.380001,36.560001,36.720001,36.720001,112900
2019-09-30,36.779999,37.080002,36.080002,36.439999,36.439999,199943
2019-10-01,36.459999,36.980000,35.520000,35.560001,35.560001,253618
2019-10-02,35.480000,35.480000,34.139999,34.500000,34.500000,215048
2019-10-03,34.000000,34.720001,33.779999,34.360001,34.360001,149235
